"","name","rating","n_ratings","lat","lon"
"116","Cafe ""Na Trakcie""",4.4,289,52.4125809,16.9494851
"117","OSK 5 BIEG | Szkoła jazdy Poznań | Wielkopolska | Kategoria A B C D E C+E Nauka Jazdy",4.9,58,52.416645,16.9477109
"118","Santander Bank Polska S.A.",3.1,89,52.400846,16.9270094
"119","Matii Robata & Sushi",4.7,2587,52.4015045,16.9269235
"120","Multikino Stary Browar",4.6,5149,52.4010787,16.9281191
"121","Isabella and Jarogniew Drwęski Park",4.6,498,52.4000122,16.9235703
"122","Galeria MM",3.9,6645,52.4061635,16.9277701
"123","Ministerstwo Browaru",4.6,1578,52.4060277,16.9252352
"124","Apollo Cinema",4.6,1923,52.4046753,16.9264374
"125","RysunekArchitektura - kursy rysunku i malarstwa",4.9,166,52.4037069,16.9293054
"126","Charlie Monroe Kino Malta",4.7,1162,52.402645,16.931851
"127","iSpot Stary Browar",3.3,117,52.4010787,16.9281191
"128","JuliaRosa Wedding dresses Poznan",4.3,32,52.4036589,16.9281667
"129","Empik",4.4,481,52.4011496,16.9281406
"130","Manekin",4.5,10136,52.4024119,16.9306308
"131","Kancelaria notarialna Notariusz Peretiatkowicz Olaf",3.3,11,52.4099564,16.9234278
"132","ROYAL DENT Stomatologia",4.7,204,52.4071132,16.924014
"133","Notariusz Daniel Folwarski. Kancelaria notarialna",4.7,11,52.4089925,16.9229661
"134","BZ WBK Inwestycje Sp. z o.o.",2.4,16,52.4086409,16.926132
"135","YASUMI SPA Poznań - Salon Kosmetyczny - Depilacja Laserowa",4.7,281,52.4114185,16.9223206
"136","FHU Color Grafik Mikołaj Łaś",4.6,92,52.4095476,16.9266172
"137","Żabka",4.4,260,52.4162318,16.9300835
"138","ProfMedica - Private clinic",3.9,45,52.41667,16.931138
